1001,2112,0220,3003,
1123,0102,0130,1123,
0012,0011,2200,1200,
1201,0233,0223,1003,
0100,0122,0211,0200,
0001,2331,2233,1100,
1120,3320,3221,0010,
1203,1100,0022,0021,
1212,2020,3230,0303,
0011,2302,1300,1033,
1120,0211,1120,0011,
1223,0220,0310,3001,
1023,0132,0010,3001,
1122,2211,0000,0000,
0000,1232,2421,0000,
1223,0003,0122,1313,
0010,2230,1231,1223,
1200,2133,1031,0211,
1111,2331,0131,3021,
0110,0231,0231,3310,
1102,3330,3331,0210,
0011,2341,3030,4320,
1202,0300,0330,2321,
1000,1213,1312,3210,
1232,3123,1312,0000,
0100,2123,3212,0010,
1022,0314,4230,2200,
1212,2121,0012,0021,
1212,2001,1002,2121,
1121,2031,3100,2102,
